date,vw_index
20100104,3420.152
20100105,3434.552
20100106,3446.506
20100107,3460.153
20100108,3471.313
20100111,3478.144
20100112,3441.83
20100113,3469.769
20100114,3476.625
20100115,3437.835
20100119,3477.233
20100120,3441.331
20100121,3373.689
20100122,3306.882
20100125,3320.976
20100126,3303.645
20100127,3314.716
20100128,3284.285
20100129,3254.347
20100201,3306.941
20100202,3351.498
20100203,3329.586
20100204,3220.96
20100205,3225.516
20100208,3197.813
20100209,3243.888
20100210,3239.332
20100211,3276.705
20100212,3271.553
20100216,3333.757
20100217,3348.864
20100218,3369.048
20100219,3379.887
20100222,3375.939
20100223,3331.437
20100224,3358.787
20100225,3356.777
20100226,3362.592
20100301,3399.256
20100302,3414.891
20100303,3421.443
20100304,3431.169
20100305,3480.802
20100308,3481.263
20100309,3485.468
20100310,3500.466
20100311,3514.736
20100312,3518.393
20100315,3518.288
20100316,3550.74
20100317,3571.493
20100318,3562.028
20100319,3538.582
20100322,3556.825
20100323,3583.486
20100324,3560.703
20100325,3550.147
20100326,3553.492
20100329,3580.446
20100330,3579.573
20100331,3571.593
20100401,3609.264
20100405,3641.731
20100406,3648.479
20100407,3625.021
20100408,3635.988
20100409,3660.023
20100412,3667.031
20100413,3666.903
20100414,3708.471
20100415,3704.517
20100416,3642.019
20100419,3653.864
20100420,3691.681
20100421,3687.098
20100422,3697.533
20100423,3728.624
20100426,3715.521
20100427,3622.042
20100428,3646.116
20100429,3693.907
20100430,3634.149
20100503,3679.817
20100504,3591.307
20100505,3558.234
20100506,3443.002
20100507,3393.887
20100510,3545.156
20100511,3539.654
20100512,3593.404
20100513,3555.563
20100514,3486.225
20100517,3480.98
20100518,3434.798
20100519,3411.672
20100520,3272.264
20100521,3327.648
20100524,3281.753
20100525,3282.414
20100526,3275.862
20100527,3389.782
20100528,3346.718
20100601,3280.735
20100602,3369.302
20100603,3381.695
20100604,3259.064
20100607,3217.684
20100608,3257.399
20100609,3246.14
20100610,3345.647
20100611,3361.623
20100614,3361.408
20100615,3439.199
20100616,3433.877
20100617,3436.99
20100618,3443.17
20100621,3433.049
20100622,3371.878
20100623,3362.411
20100624,3306.614
20100625,3328.458
20100628,3317.765
20100629,3212.487
20100630,3186.277
20100701,3174.017
20100702,3158.175
20100706,3171.06
20100707,3271.06
20100708,3304.839
20100709,3333.813
20100712,3327.484
20100713,3383.172
20100714,3377.251
20100715,3379.774
20100716,3284.342
20100719,3297.476
20100720,3340.756
20100721,3300.177
20100722,3375.579
20100723,3406.924
20100726,3447.406
20100727,3439.971
20100728,3416.008
20100729,3409.376
20100730,3414.936
20100802,3488.793
20100803,3470.239
20100804,3494.886
20100805,3488.426
20100806,3474.323
20100809,3493.525
